folio,nro,upm,ms02_0216,ms01_0101_1a,ms01_0101_1b,ms01_0101_1c,ms02_0217,ms02_0218,ms02_0219_1,ms02_0219_2,ms02_0220,ms02_0221,ms02_0222,ms02_0223,ms02_0224,ms02_0224_1,ms02_0225,ms02_0225_cod,estrato,departamento,area,ponderadorm,b3,v008,ms02_0223_o
144-003844-D-0331,1.0,144-003844-D,7.0,8.0,11.0,2023.0,1. UNICO,1. HOMBRE,10.0,2017.0,1. SI,6.0,2. NO,0.0,,,,,124,1. Chuquisaca,2. Rural,0.284171074537788,1414.0,1487.0,0.0
144-003844-D-0331,1.0,144-003844-D,8.0,8.0,11.0,2023.0,1. UNICO,2. MUJER,5.0,2019.0,1. SI,4.0,1. SI,5.0,,,,,124,1. Chuquisaca,2. Rural,0.284171074537788,1433.0,1487.0,5.0
143-003009-A-0061,2.0,143-003009-A,1.0,22.0,11.0,2023.0,1. UNICO,1. HOMBRE,11.0,2020.0,1. SI,3.0,1. SI,3.0,,,,,123,1. Chuquisaca,2. Rural,0.28225411365946007,1451.0,1487.0,3.0
143-003008-A-0281,2.0,143-003008-A,1.0,25.0,11.0,2023.0,1. UNICO,1. HOMBRE,8.0,2001.0,1. SI,22.0,2. NO,0.0,,,,,123,1. Chuquisaca,2. Rural,1.032971652073163,1220.0,1487.0,0.0
143-003008-A-0281,2.0,143-003008-A,2.0,25.0,11.0,2023.0,1. UNICO,1. HOMBRE,1.0,2003.0,1. SI,20.0,2. NO,0.0,,,,,123,1. Chuquisaca,2. Rural,1.032971652073163,1237.0,1487.0,0.0
143-003008-A-0281,2.0,143-003008-A,3.0,25.0,11.0,2023.0,1. UNICO,1. HOMBRE,9.0,2004.0,1. SI,19.0,2. NO,0.0,,,,,123,1. Chuquisaca,2. Rural,1.032971652073163,1257.0,1487.0,0.0
143-003008-A-0281,2.0,143-003008-A,4.0,25.0,11.0,2023.0,1. UNICO,1. HOMBRE,10.0,2010.0,1. SI,13.0,1. SI,3.0,,,,,123,1. Chuquisaca,2. Rural,1.032971652073163,1330.0,1487.0,3.0
143-003008-A-0281,2.0,143-003008-A,5.0,25.0,11.0,2023.0,1. UNICO,1. HOMBRE,5.0,2012.0,1. SI,11.0,1. SI,4.0,,,,,123,1. Chuquisaca,2. Rural,1.032971652073163,1349.0,1487.0,4.0
143-003008-A-0281,2.0,143-003008-A,6.0,25.0,11.0,2023.0,1. UNICO,1. HOMBRE,9.0,2016.0,1. SI,7.0,1. SI,5.0,,,,,123,1. Chuquisaca,2. Rural,1.032971652073163,1401.0,1487.0,5.0
152-003889-D-0261,2.0,152-003889-D,1.0,1.0,12.0,2023.0,1. UNICO,1. HOMBRE,4.0,2002.0,1. SI,21.0,2. NO,0.0,,,,,122,1. Chuquisaca,2. Rural,1.1074395608833392,1228.0,1488.0,0.0
152-003889-D-0261,2.0,152-003889-D,2.0,1.0,12.0,2023.0,1. UNICO,1. HOMBRE,11.0,2003.0,1. SI,20.0,1. SI,3.0,,,,,122,1. Chuquisaca,2. Rural,1.1074395608833392,1247.0,1488.0,3.0
152-003889-D-0261,2.0,152-003889-D,3.0,1.0,12.0,2023.0,1. UNICO,2. MUJER,7.0,2005.0,1. SI,18.0,2. NO,0.0,,,,,122,1. Chuquisaca,2. Rural,1.1074395608833392,1267.0,1488.0,0.0
152-003889-D-0261,2.0,152-003889-D,4.0,1.0,12.0,2023.0,1. UNICO,2. MUJER,7.0,2007.0,1. SI,16.0,2. NO,0.0,,,,,122,1. Chuquisaca,2. Rural,1.1074395608833392,1291.0,1488.0,0.0
113-000995-A-0231,4.0,113-000995-A,1.0,21.0,9.0,2023.0,1. UNICO,1. HOMBRE,10.0,2010.0,1. SI,12.0,1. SI,5.0,,,,,113,1. Chuquisaca,1. Urbana,0.5101416235605354,1330.0,1485.0,5.0
144-003444-A-0081,2.0,144-003444-A,1.0,5.0,12.0,2023.0,1. UNICO,2. MUJER,1.0,2019.0,1. SI,4.0,1. SI,3.0,,,,,124,1. Chuquisaca,2. Rural,0.4576717081500852,1429.0,1488.0,3.0
111-000157-A-0341,1.0,111-000157-A,1.0,2.0,9.0,2023.0,1. UNICO,2. MUJER,10.0,2007.0,1. SI,15.0,1. SI,3.0,,,,,111,1. Chuquisaca,1. Urbana,0.7845184267388088,1294.0,1485.0,3.0
111-000157-A-0341,1.0,111-000157-A,2.0,2.0,9.0,2023.0,1. UNICO,1. HOMBRE,7.0,2014.0,1. SI,9.0,1. SI,4.0,,,,,111,1. Chuquisaca,1. Urbana,0.7845184267388088,1375.0,1485.0,4.0
111-000157-A-0341,1.0,111-000157-A,3.0,2.0,9.0,2023.0,1. UNICO,2. MUJER,3.0,2017.0,1. SI,6.0,1. SI,5.0,,,,,111,1. Chuquisaca,1. Urbana,0.7845184267388088,1407.0,1485.0,5.0
111-000157-A-0341,1.0,111-000157-A,4.0,2.0,9.0,2023.0,1. UNICO,2. MUJER,5.0,2019.0,1. SI,4.0,1. SI,6.0,,,,,111,1. Chuquisaca,1. Urbana,0.7845184267388088,1433.0,1485.0,6.0
111-000157-A-0341,1.0,111-000157-A,5.0,2.0,9.0,2023.0,1. UNICO,2. MUJER,5.0,2021.0,1. SI,2.0,1. SI,7.0,,,,,111,1. Chuquisaca,1. Urbana,0.7845184267388088,1457.0,1485.0,7.0
